Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
5,160,"Бишкек, Лебединовка, Бакай",140 000,12 149 200
5,110,"Бишкек, Пишпек ж/м",130 000,11 281 400
6,221,"Бишкек, с. Кок-Джар",305 000,26 467 900
5,100,"Бишкек, Ак-Ордо 3 ж/м, тунук 540",96 500,8 374 270
5,220,Чолпон-Ата,264 000,22 909 920
7,200,"Бишкек, Ак-Ордо ж/м, Эркиндик",150 000,13 017 000
7,250,"Бишкек, Арча-Бешик ж/м, Куйукова, 62",250 000,21 695 000
7,500,"Бишкек, Арча-Бешик ж/м, 6, 50",850 000,73 763 000
3,70.2,"Бишкек, с. Кок-Джар, Егембердиева, 81",160 000,13 884 800
5,100,"Бишкек, Восточный автовокзал, осмонкула, 101",220 000,19 091 600
6,150,"Бишкек, Арча-Бешик ж/м",140 000,12 149 200
6,120,"Бишкек, Арча-Бешик ж/м",116 000,10 066 480
6,185,с. Беш-Кунгей,168 000,14 579 040
5,80,"Бишкек, Кара Дарыя, Ясенский, 68",150 000,13 017 000
5,100,"Бишкек, с. Нижняя Ала-Арча, киргизская, 146",260 000,22 562 800
6,193,"Бишкек, с. Новопавловка, Алга, 1 улица",125 000,10 847 500
7,350,"Бишкек, Кок-Жар ж/м, 7 апреля, 139/4",390 000,33 844 200
7,500,"Бишкек, Ала-Арча ж/м, Б",600 000,52 068 000
7,240,"с. Исмаил, Жыламыш",200 000,17 356 000
6,90,"Бишкек, Проектируемая",85 000,7 376 300
5,130,"Бишкек, Ден Сяопина - Фучика, Брянская",145 000,12 583 100
7,100,"Бишкек, Лебединовка, Северная, 40",150 000,13 017 000
6,230,"Бишкек, Ак-Ордо ж/м, Жаныш Байыш",185 000,16 054 300
5,110,"Бишкек, с. Аламудун, Алма-Атинская",200 000,17 356 000
6,160,"Бишкек, Махатма Ганди - БЧК",160 000,13 884 800
6,320,"Бишкек, 7 м-н, Каралаева",600 000,52 068 000
5,94.1,"Бишкек, Мед. академия, Попова",150 000,13 017 000
6,166,с. Военно-Антоновка,120 000,10 413 600
6,70,"с. Новопокровка, чехова",80 000,6 942 400
7,280,с. Беш-Кунгей,490 000,42 522 200
5,120,"Бишкек, Ынтымак ж/м, Ул.Сакалдуу, 49",275 000,23 864 500
5,70,"Бишкек, Лебединовка, мичурина",85 000,7 376 300
3,55,с. Бир-Булак,98 000,8 504 440
6,100,"Бишкек, Матросова, Матросова",245 000,21 261 100
7,342,"Бишкек, Кок-Жар ж/м, Алматинка",385 000,33 410 300
7,200,"Бишкек, Учкун-2 ж/м, Ынтымак, 81",160 000,13 884 800
7,292,"Бишкек, Кок-Жар ж/м, кулмурзаева",410 000,35 579 800
6,155,"Бишкек, Ак-Ордо ж/м, Дулдул",136 000,11 802 080
5,110,"Бишкек, Чуй - Алматинка, М.Фрунзе, 223",180 000,15 620 400
5,58,"Каинды, Луговая, 7",40 000,3 471 200
5,50,"Бишкек, Аламединский рынок, 136",120 000,10 413 600
6,200,"Бишкек, с. Кок-Джар",297 000,25 773 660
7,316,"Бишкек, Арча-Бешик ж/м",230 000,19 959 400
5,120,"Бишкек, Орозбекова - Жибек-Жолу, Мичурина, 107",128 000,11 107 840
7,190,"Бишкек, Ала-Тоо 3 ж-м, 30",120 000,10 413 600
6,150,с. Ленинское,95 000,8 244 100
7,200,"Бишкек, Ак-Ордо ж/м, Жетидубан, 15",199 000,17 269 220
6,159,"Бишкек, Рабочий Городок",220 000,19 091 600
3,62,"Бишкек, Арча-Бешик ж/м, Бердибаева, 49",180 000,15 620 400
7,300,"Бишкек, Арча-Бешик ж/м, 11",355 000,30 806 900
7,550,"Бишкек, Арча-Бешик ж/м",1 450 000,125 831 000
7,180,"Бишкек, Айкол",260 000,22 562 800
6,350,"Бишкек, Ала-Арча ж/м",1 200 000,104 136 000
7,300,"Бишкек, Советская - Скрябина, Ташкумырская",330 000,28 637 400
7,271,"Бишкек, Ала-Арча 3",465 000,40 352 700
5,205,"Бишкек, Ала-Арча ж/м",350 000,30 373 000
5,115,"Бишкек, Лебединовка, Веселый переулок",199 000,17 269 220
5,190,"Бишкек, Арча-Бешик ж/м",248 000,21 521 440
3,1.095,Чолпон-Ата,230 000,19 959 400
7,240,"Бишкек, Лебединовка, Максима Горького",305 000,26 467 900
3,60,"Бишкек, Арча-Бешик ж/м",137 000,11 888 860
2,50,"Бишкек, Ак-Ордо ж/м",102 000,8 851 560
7,400,"Бишкек, Ахунбаева-Достоевского, Островского",1 200 000,104 136 000
5,130,"Бишкек, с. Новопавловка",75 000,6 508 500
6,120,"Бишкек, Ак-Ордо ж/м",70 000,6 074 600
6,260,"с. Кашка-Суу, Дачная",350 000,30 373 000
7,187,"Бишкек, с. Кок-Джар",480 000,41 654 400
7,223,"Бишкек, Арча-Бешик ж/м, 4",320 000,27 740 800
3,75,"Бишкек, Кудайберген, Кустанайская, 121",75 000,6 508 500
3,101,"Бишкек, Ак-Ордо ж/м, Коктом, 218",120 000,10 413 600
5,110,"Бишкек, Кара-Жыгач ж/м, Кереге-Таш, 12/13",120 000,10 413 600
3,60,"Бишкек, Арча-Бешик ж/м, 213",139 000,12 062 420
6,130,"с. Тюп, пер. Западный, 20",37 500,3 254 250
6,1000,"Токмок, линейная 111",55 000,4 772 900
6,130,"Бишкек, Табачка, Окрайная, 21",207 421,18 000 000
7,200,"Бишкек, Ак-Орго ж/м, Арабаева",150 000,13 017 000
5,56,"Бишкек, Восточный автовокзал",105 000,9 111 900
7,176,"Бишкек, с. Новопавловка",160 000,13 884 800
5,110,"Бишкек, Западный автовокзал",108 000,9 372 240
7,550,"Бишкек, Ала-Арча ж/м",950 000,82 441 000
3,220,"Бишкек, Ак-Ордо ж/м",175 000,15 186 500
6,150,"Бишкек, Кара-Жыгач ж/м",122 000,10 587 160
6,300,"Бишкек, Жилгородок Ницца",650 000,56 407 000
3,155,с. Сары-Ой,380 000,32 976 400
5,250,"Бишкек, Арча-Бешик ж/м",262 500,22 779 750
5,130,с. Таш-Добо,130 000,11 281 400
5,200,"Бишкек, Ала-Арча ж/м",780 000,67 688 400
6,75,"с. Сары-Джон, 3, 34",72 500,6 291 550
7,200,"Кызыл-Адыр, Айдаркул Эшматова, 92",60 000,5 206 800
3,114,"с. Бает, Бает Ц.О",285 000,24 732 300
7,604,"Бишкек, с. Кок-Джар",570 000,49 464 600
5,150,"Бишкек, Кок-Жар ж/м",180 000,15 620 400
7,196,"Бишкек, Матросова, Суванбердиева",280 000,24 298 400
6,97,с. Таш-Добо,117 000,10 153 260
8,85,с. Кара-Ой,72 000,6 248 160
7,90,"Бишкек, Ак-Ордо ж/м, 50",90 000,7 810 200
5,140,"Бишкек, Советская - Щербакова",200 000,17 356 000
2,100,"Бишкек, Арча-Бешик ж/м, Ак Шыйрак",119 500,10 370 210
5,90,"Бишкек, Ак-Босого ж/м",76 500,6 638 670
6,146,"Бишкек, с. Новопавловка, Ак-Шоола",115 000,9 979 700
6,200,Кенеш с.,120 000,10 413 600
5,110,"Бишкек, Ак-Босого ж/м, 76",130 000,11 281 400
5,100,"Бишкек, с. Восток, Береговая, 23",110 000,9 545 800
6,250,"Бишкек, Рухий Мурас ж/м, Улица8, 166",120 000,10 413 600
5,65,"Бишкек, с. Аламудун, 53",90 000,7 810 200
3,4,"Бишкек, Ден Сяопина - Фучика, Коммунарова, 68",85 000,7 376 300
7,336,"Бишкек, Рухий Мурас ж/м, Проектируемая, 61",350 000,30 373 000
6,260,с. Джер-Казар,140 000,12 149 200
7,400,"с. Беш-Кунгей, сагыналы",155 000,13 450 900
7,353,"Бишкек, Тенир-Тоо м-н",275 000,23 864 500
5,100,"Бишкек, Колмо ж/м",97 000,8 417 660
6,220,"с. Новопокровка, Фрунзе, 488",90 000,7 810 200
6,130,"Бишкек, с. Чон-Арык",167 000,14 492 260
7,250,"Бишкек, Арча-Бешик ж/м",350 000,30 373 000
7,120,"Бишкек, Джальская больница, купянова, 30",250 000,21 695 000
5,120,с. Кой-Таш,120 000,10 413 600
5,263,"Бишкек, Рухий Мурас ж/м",208 000,18 050 240
5,125,с. Джон-Арык,57 677,5 000 000
3,70,"Бишкек, Кызыл-Аскер ж/м, 14",66 836,5 800 000
3,60,"Бишкек, с. Аламудун, Алма-Атинская, 10",190 000,16 488 200
3,120,с. Бостери,80 000,6 942 400
2,48,"Бишкек, Калыс-Ордо ж/м",30 000,2 603 400
7,272,"с. Беш-Кунгей, Сарыбагышева, 96",487 800,42 331 284
7,150,"Бишкек, с. Маевка, 72",225 000,19 525 500
6,400,"Бишкек, Кок-Жар ж/м, Кок-Жар",160 000,13 884 800
5,111,"с. Беш-Кунгей, 48",220 000,19 091 600
5,120,"Бишкек, Мадина, Достоевская",199 000,17 269 220
7,171,"Бишкек, с. Чон-Арык",250 000,21 695 000
7,287,"с. Бостери, ЦТ Алматы, Ч9",305 000,26 467 900
6,220,"Бишкек, Арча-Бешик ж/м",270 000,23 430 600
7,250,"Бишкек, с. Кок-Джар",295 000,25 600 100
6,190,"Бишкек, Ак-Ордо ж/м, Жаныш Байыш, 25",220 000,19 091 600
6,110,"Бишкек, Джальская больница",220 000,19 091 600
5,100,"Бишкек, Алтын-Ордо ж/м",150 000,13 017 000
7,260,"Бишкек, Кок-Жар ж/м",220 000,19 091 600
7,500,"Бишкек, Ак-Жар ж/м",212 000,18 397 360
3,76.4,"Бишкек, Арча-Бешик ж/м, 5-я улица, 27а",92 000,7 983 760
7,300,"Бишкек, Ала-Арча ж/м",800 000,69 424 000
6,205,"Бишкек, Арча-Бешик ж/м",230 000,19 959 400
7,1150,"с. Новопокровка, ново покровка ул. чехова",85 000,7 376 300
6,240,"Бишкек, Ак-Ордо ж/м",140 000,12 149 200
7,200,"Каракол, Масалиева",515 000,44 691 700
5,80,"Бишкек, с. Маевка",70 000,6 074 600
7,216,"Бишкек, Арча-Бешик ж/м, Жазыйра",260 000,22 562 800
5,70,"Бишкек, Западный автовокзал",78 000,6 768 840
7,250,"Бишкек, Карла Маркса, Суванбердиева",370 000,32 108 600
7,650,"Бишкек, Ала-Арча ж/м",1 500 000,130 170 000
5,45,"Бишкек, Матросова, медерова",73 000,6 334 940
3,68,"с. Бает, Советская",110 000,9 545 800
3,75,"Бишкек, с. Сарбан, 37",38 000,3 297 640
7,245,"Бишкек, с. Чон-Арык",325 000,28 203 500
5,108,"Бишкек, с. Маевка, 8 марта, 19",116 000,10 066 480
7,650,Каракол,60 000,5 206 800
3,86,с. Чок-Тал,180 000,15 620 400
7,100,"Бишкек, Касым ж/м, 106",200 000,17 356 000
7,250,"Бишкек, Арча-Бешик ж/м",262 500,22 779 750
6,250,"Бишкек, Ден Сяопина - Фучика, Корейская, 39",210 000,18 204 900
6,140,с. Сары-Ой,415 000,36 013 700
6,130,"Бишкек, с. Селекционное, Вишневая",180 000,15 620 400
5,246,"Бишкек, Ак Кеме",400 000,34 712 000
6,280,"Бишкек, с. Кок-Джар",680 000,59 010 400
5,125,"Бишкек, Ак-Ордо ж/м",160 000,13 884 800
5,1.025,Чолпон-Ата,265 000,22 996 700
3,85,"Бишкек, Арча-Бешик ж/м",125 000,10 847 500
7,526,"Бишкек, Ала-Арча ж/м",670 000,58 142 600
6,300,с. Беш-Кунгей,250 000,21 695 000
5,145,Каракол,200 000,17 356 000
7,320,"Бишкек, Душанбинка, 47",750 000,65 085 000
6,190,"Бишкек, с. Кок-Джар, Арашан, 93",165 000,14 318 700
5,150,"Бишкек, с. Кок-Джар, кыдыкеева, 24",250 000,21 695 000
6,344,"с. Таш-Добо, 30",350 000,30 373 000
7,100,"с. Григорьевка, Нурушева, 63",100 000,8 678 000
5,70,с. Новопокровка,53 500,4 642 730
5,70,"с. Киргшёлк, Верхняя",73 000,6 328 370
6,108,с. Кара-Ой,60 000,5 206 800
6,240,"Бишкек, с. Кок-Джар, 7 Апрель",650 000,56 407 000
7,175,"Бишкек, Кок-Жар ж/м",420 000,36 447 600
5,84,"Бишкек, Западный автовокзал, Краснодонцев",90 000,7 810 200
7,110,"Бишкек, Элебесова - Фере (Турбаза)",115 000,9 979 700
5,86,"Бишкек, Тоголок молдо- Куренкеева",170 000,14 752 600
7,270.6,"Бишкек, Ынтымак ж/м, Кырман, 30",560 000,48 596 800
2,180,"с. Беш-Кунгей, Дт: Энергия",167 500,14 535 650
1,240,"Бишкек, с. Кашка-Баш, Плодоовощная 38",97 500,8 461 050
3,70,"Бишкек, Кожзавод",76 500,6 638 670
7,188,"Бишкек, Горького - Панфилова",250 000,21 695 000
5,75,"Бишкек, Гоин, Фирсова, 9а",115 000,9 979 700
7,200,с. Комсомольское,270 000,23 430 600
7,165,"Бишкек, Ак-Ордо 3 ж/м, проектир",135 000,11 715 300
3,95,"Бишкек, Кок-Жар ж/м, Исы Ахунбаева",450 000,39 051 000
3,85,"Балыкчы, Аманбаева, 155",57 500,4 989 850
3,56.28,с. Кара-Ой,85 000,7 376 300
7,300,"Бишкек, Арча-Бешик ж/м, Ак-Туз",340 000,29 505 200
7,320,"с. Кызыл-Туу, конок, 39",235 000,20 393 300
5,144,с. Сары-Ой,360 000,31 240 800
6,170,"Бишкек, Ак-Ордо ж/м",92 000,7 983 760
5,144,"Бишкек, АУЦА",175 000,15 186 500
7,639,с. Тамчы,97 000,8 417 660
5,72,"Бишкек, с. Учкун, Береговая",155 000,13 450 900
7,191,с. Бает,300 000,26 034 000
7,490,"Бишкек, VEFA, Карасаева",700 000,60 746 000
7,320,"Бишкек, Кара-Жыгач ж/м, Чоктал, 53",208 088,18 057 877
3,90,"Бишкек, Лущихина - Льва Толстого, Льва Толстого234/5, 9",90 000,7 810 200
6,200,"Бишкек, с. Чон-Арык",135 000,11 715 300
7,200,с. Манас,120 000,10 413 600
7,220,"Бишкек, Горького - Панфилова",300 000,26 034 000
7,300,"Бишкек, Гоин, Усенбаева",495 000,42 956 100
5,180,"Бишкек, Токольдош ж/м",58 000,5 033 240
6,200,"Шопоков, Железнодорожный пер.",75 000,6 508 500
5,200,"Бишкек, Магистраль, Абдурахманова, 13",420 000,36 447 600
5,73,"Бишкек, Кок-Жар ж/м, Кок-Джар",180 000,15 620 400
7,300,"Бишкек, с. Кок-Джар, Мадиева",370 000,32 108 600
6,252.8,"Бишкек, Махатма Ганди - БЧК, Караванский пер.",215 000,18 657 700
5,200,"с. Арашан, Курман, 29",270 000,23 430 600
6,250,"Бишкек, Кок-Жар ж/м, Керемет",189 000,16 401 420
7,226,"Бишкек, Кок-Жар м-н, Скрябина",255 000,22 128 900
5,100,"Бишкек, с. Новопавловка, Гагарина",67 000,5 814 260
7,348,"Бишкек, Арча-Бешик ж/м, Чортекова",280 000,24 298 400
5,220,"Бишкек, Лущихина - Льва Толстого",90 000,7 810 200
6,160,"Бишкек, Айкол",200 000,17 356 000
6,93,"Бишкек, с. Маевка, маевка улица школьная 48",88 000,7 636 640
3,100,Чолпон-Ата,120 000,10 413 600
7,200,"с. Новопокровка, село НОВОПОКРОВКА улица Фрунзе, 291",170 000,14 752 600
3,50,"Бишкек, с. Восток",58 000,5 033 240
7,150,"Бишкек, Карла Маркса, Медерова",215 000,18 657 700
5,125,"Бишкек, Карпинка, Осмонкула",168 000,14 579 040
6,150,"Бишкек, Арча-Бешик ж/м, 12",150 000,13 017 000
3,40,"Бишкек, Элебесова - Фере (Турбаза), ул.Фирсова/Фере",68 000,5 901 040
5,50,"Бишкек, с. Учкун",83 000,7 202 740
5,110,"Бишкек, Ак-Орго ж/м",105 000,9 111 900
3,50,с. Военно-Антоновка,53 000,4 599 340
5,200,"Бишкек, Арча-Бешик ж/м",190 000,16 488 200
7,258,"Бишкек, с. Кок-Джар, 44",285 000,24 732 300
7,90,"Бишкек, Аламединский рынок, Порхоменко",115 000,9 979 700
5,60,"Бишкек, Махатма Ганди - БЧК, Малышева, 98",85 000,7 376 300
5,100,"с. Новопокровка, Чеченова, 15",180 000,15 620 400
6,170,"с. Кашка-Суу, Кашка суу Достук, 104",350 000,30 373 000
7,280,"с. Таш-Мойнок, Центральная, 21/1",500 000,43 390 000
7,200,с. Кой-Таш,160 000,13 884 800
5,100,д/п Бек-Тоо,38 000,3 297 640
6,200,"Бишкек, Арча-Бешик ж/м",270 000,23 430 600
5,80,"Бишкек, Мед. академия",198 000,17 182 440
3,64,с. Кой-Таш,145 000,12 583 100
5,160,"Бишкек, Балбан-Таймаш ж/м, 3",135 000,11 715 300
5,100,с. Чон-Арык,155 000,13 450 900
7,100,с. Дачное,60 000,5 206 800
7,390,"Бишкек, Верхний Джал м-н",430 000,37 315 400
3,70,"Бишкек, Ак-Ордо ж/м",65 000,5 640 700
6,380,"Бишкек, с. Орто-Сай",850 000,73 763 000
7,160,"Бишкек, ж/м Ала-Арча 2, 15, 2",149 500,12 973 610
7,310,"Бишкек, Ынтымак ж/м",440 000,38 183 200
6,187,"Бишкек, Ак-Ордо ж/м",190 000,16 488 200
7,300,"Бишкек, Ак-Босого ж/м, 60, 28",140 000,12 149 200
7,438,"Бишкек, Горького - Панфилова, Ошская",315 000,27 335 700
6,80,"Бишкек, Тоголок Молдо - Щербакова, 128",70 000,6 074 600
6,200,с. Кой-Таш,260 000,22 562 800
3,120,"Бишкек, Советская - БЧК, Маяковского",165 000,14 318 700
5,115,"Бишкек, Тенир-Тоо м-н, Чатыр кол",165 000,14 318 700
7,154,"Бишкек, Арча-Бешик ж/м",200 000,17 356 000
6,160,"Бишкек, Оскон-Ордо ж/м, 9",110 000,9 545 800
6,175,"Бишкек, Рухий Мурас ж/м",185 000,16 054 300
6,160,"Бишкек, Арча-Бешик ж/м",330 000,28 637 400
7,270,"Бишкек, Арча-Бешик ж/м",235 000,20 393 300
5,105,"Бишкек, Ак-Ордо ж/м",85 000,7 376 300
7,207,с. Таш-Мойнок,580 000,50 332 400
7,620,"Бишкек, с. Кок-Джар",390 000,33 844 200
6,100,"Бишкек, Учкун ж/м, Учкун-9 я, 14",166 000,14 405 480
2,100,с. Беш-Кунгей,63 000,5 467 140
3,68,"Бишкек, Карла Маркса, Белорусская, 108а",160 000,13 884 800
5,150,"Бишкек, с. Кок-Джар",180 000,15 620 400
5,120,"Бишкек, с. Верхний Орок",112 000,9 719 360
7,150,"Бишкек, Кызыл-Аскер ж/м",130 000,11 281 400
7,300,"Бишкек, Кок-Жар ж/м, Куюкова",450 000,39 051 000
7,195,"Бишкек, Старый толчок",150 000,13 017 000
7,186,"Ош, Акбуура 4, Абылкасымова Ильяса, 33",170 000,14 752 600
7,2000,"Бишкек, Азия Молл, Юдахина, 50-50а",177 000,15 360 060
5,151,"Бишкек, Джальская больница, Ахунбаева, 166",400 000,34 712 000
7,220,"Бишкек, Арча-Бешик ж/м, Магистраль - Бакаева",350 000,30 373 000
5,60,"Бишкек, Нижний Токольдош, Карский пер",99 000,8 591 220
6,188,"Бишкек, Горького - Панфилова",250 000,21 695 000
7,220,"Бишкек, Элебесова - Фере (Турбаза), Фирсова",330 000,28 637 400
6,265,"Бишкек, Кара Дарыя, Шукурова",430 000,37 315 400
7,530,"Бишкек, Ынтымак ж/м, Стадионная",800 000,69 424 000
7,700,"Бишкек, Кок-Жар ж/м, Куйручук",285 000,24 732 300
7,170,"Бишкек, Кызыл-Аскер ж/м, Джамгерчинова",130 000,11 281 400
7,102,"с. Петропавловка, Крупская",130 000,11 281 400
7,184.7,"Бишкек, Кызыл-Аскер ж/м, Пишпекская",255 000,22 128 900
3,48.68,"Бишкек, с. Кок-Джар, Уметалиева",280 000,24 298 400
2,47,"Бишкек, Западный автовокзал, Малышева, 48",70 000,6 074 600
7,124,"с. Ой-Тал, Гагарина, 28",30 000,2 603 400
6,106,"Бишкек, Кызыл-Аскер ж/м, Мессароша",98 000,8 504 440
6,90,"Бишкек, БГУ, Сухомлинова, 33",210 000,18 223 800
6,160,с. Кой-Таш,150 000,13 017 000
6,210,"с. Беш-Кунгей, Таранчиева, 4",175 000,15 186 500
3,40,"Бишкек, Аламединский рынок",84 000,7 289 520
5,155,"Бишкек, с. Чон-Арык, Северная, 46",260 000,22 562 800
3,42,"Бишкек, Алтын-Ордо ж/м, 3-я улица",135 000,11 715 300
5,82,"Бишкек, Кызыл-Аскер ж/м, Белгородская, 48",75 000,6 508 500
5,100,"Бишкек, с. Нижняя Ала-Арча, новая 9",125 000,10 847 500
2,42,"с. Ленинское, 325",104 000,9 025 120
6,131,"Бишкек, ж/м Ала-Арча 2, Абаданова, 74 А",142 200,12 340 116
7,250,с. Чок-Тал,370 000,32 108 600
6,160,"Бишкек, Таш Рабат",222 000,19 265 160
3,65,"Бишкек, с. Пригородное, Сибирская",54 000,4 686 120
5,60,"Бишкек, Пишпек ж/м, 107",120 000,10 413 600
6,120,"Бишкек, Ынтымак ж/м, 40",352 000,30 546 560
6,91,"Бишкек, с. Чон-Арык, Кожобергенова, 241",235 000,20 393 300
7,167,"Бишкек, Тоголок-Молдо - БЧК",200 000,17 356 000
7,220,"Бишкек, Джальская больница",350 000,30 373 000
5,75,"с. Беш-Кунгей, таранчиева",130 000,11 281 400
7,200,"Ош, Аскар Шакирова, 56",360 000,31 240 800
6,120,"Бишкек, с. Чон-Арык",290 000,25 166 200
5,180,"Бишкек, Колмо ж/м",195 000,16 922 100
3,100,с. Сары-Ой,185 000,16 054 300
6,106,"Бишкек, с. Новопавловка",125 000,10 847 500
6,190,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак",235 000,20 393 300
6,250,"Бишкек, Арча-Бешик ж/м",535 000,46 427 300
7,355,"Бишкек, Джальская больница, Островского",450 000,39 051 000
6,153,с. Кара-Ой,130 000,11 281 400
5,122,с. Байтик,140 000,12 149 200
7,120,"Бишкек, с. Новопавловка, абшыр ата",87 000,7 549 860
7,220,"Бишкек, Ата Журт, достук",230 000,19 959 400
7,170,"Бишкек, Рухий Мурас ж/м, 3я",160 000,13 884 800
3,400,"Бишкек, Кара-Жыгач ж/м",139 000,12 062 420
6,126,"Бишкек, Душанбинка, худайбергенова",390 000,33 844 200
2,55,"Бишкек, Оскон-Ордо ж/м",72 000,6 248 160
6,250,"Бишкек, VEFA, Чернышевского",495 000,42 956 100
7,271,"Бишкек, Ала-Арча 3",475 000,41 220 500
2,27,"с. Таш-Добо, Горький",120 000,10 413 600
6,250,с. Байтик,198 000,17 182 440
7,150,"Бишкек, Карла Маркса, Бектенова, 20",250 000,21 695 000
7,230,"Бишкек, Арча-Бешик ж/м",300 000,26 034 000
6,98,"Бишкек, с. Маевка, Новая",75 000,6 508 500
6,113,"Бишкек, Пишпек ж/м",132 000,11 454 960
2,40,"с. Романовка, Рамановка",36 000,3 124 080
3,60,с. Комсомольское,65 000,5 640 700
7,220,"Бишкек, АУЦА, Иститут Сейсмологии, 17",480 000,41 654 400
3,90,"Бишкек, Ак-Ордо 3 ж/м, Дыйканбаева Арпачы",81 500,7 072 570
7,164,"Бишкек, Арча-Бешик ж/м, Садырбаева",330 000,28 637 400
