Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
2,42.0,"Бишкек, БГУ",40000,3471200
5,55.0,"Бишкек, Ала-Тоо м-н, Бештектир, 1",57617,5000000
3,100.0,с. Кызыл-Суу,70000,6074600
7,800.0,Турция,25000000,2169500000
6,182.0,"Бишкек, Полицейский городок м-н, 8 улица",125000,10847500
5,133.0,"Бишкек, Ак Кеме",275000,23864500
3,100.0,"Бишкек, Старый толчок",75000,6508500
5,162.0,"Бишкек, с. Чон-Арык",200000,17356000
5,160.0,"Бишкек, Лебединовка, Бакай",140000,12149200
5,110.0,"Бишкек, Пишпек ж/м",130000,11281400
6,221.0,"Бишкек, с. Кок-Джар",305000,26467900
5,100.0,"Бишкек, Ак-Ордо 3 ж/м, тунук 540",96500,8374270
5,220.0,Чолпон-Ата,264000,22909920
7,200.0,"Бишкек, Ак-Ордо ж/м, Эркиндик",150000,13017000
7,250.0,"Бишкек, Арча-Бешик ж/м, Куйукова, 62",250000,21695000
7,500.0,"Бишкек, Арча-Бешик ж/м, 6, 50",850000,73763000
3,70.2,"Бишкек, с. Кок-Джар, Егембердиева, 81",160000,13884800
5,100.0,"Бишкек, Восточный автовокзал, осмонкула, 101",220000,19091600
6,150.0,"Бишкек, Арча-Бешик ж/м",140000,12149200
6,120.0,"Бишкек, Арча-Бешик ж/м",116000,10066480
6,185.0,с. Беш-Кунгей,168000,14579040
5,80.0,"Бишкек, Кара Дарыя, Ясенский, 68",150000,13017000
5,100.0,"Бишкек, с. Нижняя Ала-Арча, киргизская, 146",260000,22562800
6,193.0,"Бишкек, с. Новопавловка, Алга, 1 улица",125000,10847500
7,350.0,"Бишкек, Кок-Жар ж/м, 7 апреля, 139/4",390000,33844200
7,500.0,"Бишкек, Ала-Арча ж/м, Б",600000,52068000
7,240.0,"с. Исмаил, Жыламыш",200000,17356000
6,90.0,"Бишкек, Проектируемая",85000,7376300
5,130.0,"Бишкек, Ден Сяопина - Фучика, Брянская",145000,12583100
7,100.0,"Бишкек, Лебединовка, Северная, 40",150000,13017000
6,230.0,"Бишкек, Ак-Ордо ж/м, Жаныш Байыш",185000,16054300
5,110.0,"Бишкек, с. Аламудун, Алма-Атинская",200000,17356000
6,160.0,"Бишкек, Махатма Ганди - БЧК",160000,13884800
6,320.0,"Бишкек, 7 м-н, Каралаева",600000,52068000
5,94.1,"Бишкек, Мед. академия, Попова",150000,13017000
6,166.0,с. Военно-Антоновка,120000,10413600
6,70.0,"с. Новопокровка, чехова",80000,6942400
7,280.0,с. Беш-Кунгей,490000,42522200
5,120.0,"Бишкек, Ынтымак ж/м, Ул.Сакалдуу, 49",275000,23864500
5,70.0,"Бишкек, Лебединовка, мичурина",85000,7376300
3,55.0,с. Бир-Булак,98000,8504440
6,100.0,"Бишкек, Матросова, Матросова",245000,21261100
7,342.0,"Бишкек, Кок-Жар ж/м, Алматинка",385000,33410300
7,200.0,"Бишкек, Учкун-2 ж/м, Ынтымак, 81",160000,13884800
7,292.0,"Бишкек, Кок-Жар ж/м, кулмурзаева",410000,35579800
6,155.0,"Бишкек, Ак-Ордо ж/м, Дулдул",136000,11802080
5,110.0,"Бишкек, Чуй - Алматинка, М.Фрунзе, 223",180000,15620400
5,58.0,"Каинды, Луговая, 7",40000,3471200
5,50.0,"Бишкек, Аламединский рынок, 136",120000,10413600
6,200.0,"Бишкек, с. Кок-Джар",297000,25773660
7,316.0,"Бишкек, Арча-Бешик ж/м",230000,19959400
5,120.0,"Бишкек, Орозбекова - Жибек-Жолу, Мичурина, 107",128000,11107840
7,190.0,"Бишкек, Ала-Тоо 3 ж-м, 30",120000,10413600
6,150.0,с. Ленинское,95000,8244100
7,200.0,"Бишкек, Ак-Ордо ж/м, Жетидубан, 15",199000,17269220
6,159.0,"Бишкек, Рабочий Городок",220000,19091600
3,62.0,"Бишкек, Арча-Бешик ж/м, Бердибаева, 49",180000,15620400
7,300.0,"Бишкек, Арча-Бешик ж/м, 11",355000,30806900
7,550.0,"Бишкек, Арча-Бешик ж/м",1450000,125831000
7,180.0,"Бишкек, Айкол",260000,22562800
6,350.0,"Бишкек, Ала-Арча ж/м",1200000,104136000
7,300.0,"Бишкек, Советская - Скрябина, Ташкумырская",330000,28637400
7,271.0,"Бишкек, Ала-Арча 3",465000,40352700
5,205.0,"Бишкек, Ала-Арча ж/м",350000,30373000
5,115.0,"Бишкек, Лебединовка, Веселый переулок",199000,17269220
5,190.0,"Бишкек, Арча-Бешик ж/м",248000,21521440
3,1.095,Чолпон-Ата,230000,19959400
7,240.0,"Бишкек, Лебединовка, Максима Горького",305000,26467900
3,60.0,"Бишкек, Арча-Бешик ж/м",137000,11888860
2,50.0,"Бишкек, Ак-Ордо ж/м",102000,8851560
7,400.0,"Бишкек, Ахунбаева-Достоевского, Островского",1200000,104136000
5,130.0,"Бишкек, с. Новопавловка",75000,6508500
6,120.0,"Бишкек, Ак-Ордо ж/м",70000,6074600
6,260.0,"с. Кашка-Суу, Дачная",350000,30373000
7,187.0,"Бишкек, с. Кок-Джар",480000,41654400
7,223.0,"Бишкек, Арча-Бешик ж/м, 4",320000,27740800
3,75.0,"Бишкек, Кудайберген, Кустанайская, 121",75000,6508500
3,101.0,"Бишкек, Ак-Ордо ж/м, Коктом, 218",120000,10413600
5,110.0,"Бишкек, Кара-Жыгач ж/м, Кереге-Таш, 12/13",120000,10413600
3,60.0,"Бишкек, Арча-Бешик ж/м, 213",139000,12062420
6,130.0,"с. Тюп, пер. Западный, 20",37500,3254250
6,1000.0,"Токмок, линейная 111",55000,4772900
6,130.0,"Бишкек, Табачка, Окрайная, 21",207421,18000000
7,200.0,"Бишкек, Ак-Орго ж/м, Арабаева",150000,13017000
5,56.0,"Бишкек, Восточный автовокзал",105000,9111900
7,176.0,"Бишкек, с. Новопавловка",160000,13884800
5,110.0,"Бишкек, Западный автовокзал",108000,9372240
7,550.0,"Бишкек, Ала-Арча ж/м",950000,82441000
3,220.0,"Бишкек, Ак-Ордо ж/м",175000,15186500
6,150.0,"Бишкек, Кара-Жыгач ж/м",122000,10587160
6,300.0,"Бишкек, Жилгородок Ницца",650000,56407000
3,155.0,с. Сары-Ой,380000,32976400
5,250.0,"Бишкек, Арча-Бешик ж/м",262500,22779750
5,130.0,с. Таш-Добо,130000,11281400
5,200.0,"Бишкек, Ала-Арча ж/м",780000,67688400
6,75.0,"с. Сары-Джон, 3, 34",72500,6291550
7,200.0,"Кызыл-Адыр, Айдаркул Эшматова, 92",60000,5206800
3,114.0,"с. Бает, Бает Ц.О",285000,24732300
7,604.0,"Бишкек, с. Кок-Джар",570000,49464600
5,150.0,"Бишкек, Кок-Жар ж/м",180000,15620400
7,196.0,"Бишкек, Матросова, Суванбердиева",280000,24298400
6,97.0,с. Таш-Добо,117000,10153260
8,85.0,с. Кара-Ой,72000,6248160
7,90.0,"Бишкек, Ак-Ордо ж/м, 50",90000,7810200
5,140.0,"Бишкек, Советская - Щербакова",200000,17356000
2,100.0,"Бишкек, Арча-Бешик ж/м, Ак Шыйрак",119500,10370210
5,90.0,"Бишкек, Ак-Босого ж/м",76500,6638670
6,146.0,"Бишкек, с. Новопавловка, Ак-Шоола",115000,9979700
6,200.0,Кенеш с.,120000,10413600
5,110.0,"Бишкек, Ак-Босого ж/м, 76",130000,11281400
5,100.0,"Бишкек, с. Восток, Береговая, 23",110000,9545800
6,250.0,"Бишкек, Рухий Мурас ж/м, Улица8, 166",120000,10413600
5,65.0,"Бишкек, с. Аламудун, 53",90000,7810200
3,4.0,"Бишкек, Ден Сяопина - Фучика, Коммунарова, 68",85000,7376300
7,336.0,"Бишкек, Рухий Мурас ж/м, Проектируемая, 61",350000,30373000
6,260.0,с. Джер-Казар,140000,12149200
7,400.0,"с. Беш-Кунгей, сагыналы",155000,13450900
7,353.0,"Бишкек, Тенир-Тоо м-н",275000,23864500
5,100.0,"Бишкек, Колмо ж/м",97000,8417660
6,220.0,"с. Новопокровка, Фрунзе, 488",90000,7810200
6,130.0,"Бишкек, с. Чон-Арык",167000,14492260
7,250.0,"Бишкек, Арча-Бешик ж/м",350000,30373000
7,120.0,"Бишкек, Джальская больница, купянова, 30",250000,21695000
5,120.0,с. Кой-Таш,120000,10413600
5,263.0,"Бишкек, Рухий Мурас ж/м",208000,18050240
5,125.0,с. Джон-Арык,57677,5000000
3,70.0,"Бишкек, Кызыл-Аскер ж/м, 14",66836,5800000
3,60.0,"Бишкек, с. Аламудун, Алма-Атинская, 10",190000,16488200
3,120.0,с. Бостери,80000,6942400
2,48.0,"Бишкек, Калыс-Ордо ж/м",30000,2603400
7,272.0,"с. Беш-Кунгей, Сарыбагышева, 96",487800,42331284
7,150.0,"Бишкек, с. Маевка, 72",225000,19525500
6,400.0,"Бишкек, Кок-Жар ж/м, Кок-Жар",160000,13884800
5,111.0,"с. Беш-Кунгей, 48",220000,19091600
5,120.0,"Бишкек, Мадина, Достоевская",199000,17269220
7,171.0,"Бишкек, с. Чон-Арык",250000,21695000
7,287.0,"с. Бостери, ЦТ Алматы, Ч9",305000,26467900
6,220.0,"Бишкек, Арча-Бешик ж/м",270000,23430600
7,250.0,"Бишкек, с. Кок-Джар",295000,25600100
6,190.0,"Бишкек, Ак-Ордо ж/м, Жаныш Байыш, 25",220000,19091600
6,110.0,"Бишкек, Джальская больница",220000,19091600
5,100.0,"Бишкек, Алтын-Ордо ж/м",150000,13017000
7,260.0,"Бишкек, Кок-Жар ж/м",220000,19091600
7,500.0,"Бишкек, Ак-Жар ж/м",212000,18397360
3,76.4,"Бишкек, Арча-Бешик ж/м, 5-я улица, 27а",92000,7983760
7,300.0,"Бишкек, Ала-Арча ж/м",800000,69424000
6,205.0,"Бишкек, Арча-Бешик ж/м",230000,19959400
7,1150.0,"с. Новопокровка, ново покровка ул. чехова",85000,7376300
6,240.0,"Бишкек, Ак-Ордо ж/м",140000,12149200
7,200.0,"Каракол, Масалиева",515000,44691700
5,80.0,"Бишкек, с. Маевка",70000,6074600
7,216.0,"Бишкек, Арча-Бешик ж/м, Жазыйра",260000,22562800
5,70.0,"Бишкек, Западный автовокзал",78000,6768840
7,250.0,"Бишкек, Карла Маркса, Суванбердиева",370000,32108600
7,650.0,"Бишкек, Ала-Арча ж/м",1500000,130170000
5,45.0,"Бишкек, Матросова, медерова",73000,6334940
3,68.0,"с. Бает, Советская",110000,9545800
3,75.0,"Бишкек, с. Сарбан, 37",38000,3297640
7,245.0,"Бишкек, с. Чон-Арык",325000,28203500
5,108.0,"Бишкек, с. Маевка, 8 марта, 19",116000,10066480
7,650.0,Каракол,60000,5206800
3,86.0,с. Чок-Тал,180000,15620400
7,100.0,"Бишкек, Касым ж/м, 106",200000,17356000
7,250.0,"Бишкек, Арча-Бешик ж/м",262500,22779750
6,250.0,"Бишкек, Ден Сяопина - Фучика, Корейская, 39",210000,18204900
6,140.0,с. Сары-Ой,415000,36013700
6,130.0,"Бишкек, с. Селекционное, Вишневая",180000,15620400
5,246.0,"Бишкек, Ак Кеме",400000,34712000
6,280.0,"Бишкек, с. Кок-Джар",680000,59010400
5,125.0,"Бишкек, Ак-Ордо ж/м",160000,13884800
5,1.025,Чолпон-Ата,265000,22996700
3,85.0,"Бишкек, Арча-Бешик ж/м",125000,10847500
7,526.0,"Бишкек, Ала-Арча ж/м",670000,58142600
6,300.0,с. Беш-Кунгей,250000,21695000
5,145.0,Каракол,200000,17356000
7,320.0,"Бишкек, Душанбинка, 47",750000,65085000
6,190.0,"Бишкек, с. Кок-Джар, Арашан, 93",165000,14318700
5,150.0,"Бишкек, с. Кок-Джар, кыдыкеева, 24",250000,21695000
6,344.0,"с. Таш-Добо, 30",350000,30373000
7,100.0,"с. Григорьевка, Нурушева, 63",100000,8678000
5,70.0,с. Новопокровка,53500,4642730
5,70.0,"с. Киргшёлк, Верхняя",73000,6328370
6,108.0,с. Кара-Ой,60000,5206800
6,240.0,"Бишкек, с. Кок-Джар, 7 Апрель",650000,56407000
7,175.0,"Бишкек, Кок-Жар ж/м",420000,36447600
5,84.0,"Бишкек, Западный автовокзал, Краснодонцев",90000,7810200
7,110.0,"Бишкек, Элебесова - Фере (Турбаза)",115000,9979700
5,86.0,"Бишкек, Тоголок молдо- Куренкеева",170000,14752600
7,270.6,"Бишкек, Ынтымак ж/м, Кырман, 30",560000,48596800
2,180.0,"с. Беш-Кунгей, Дт: Энергия",167500,14535650
1,240.0,"Бишкек, с. Кашка-Баш, Плодоовощная 38",97500,8461050
3,70.0,"Бишкек, Кожзавод",76500,6638670
7,188.0,"Бишкек, Горького - Панфилова",250000,21695000
5,75.0,"Бишкек, Гоин, Фирсова, 9а",115000,9979700
7,200.0,с. Комсомольское,270000,23430600
7,165.0,"Бишкек, Ак-Ордо 3 ж/м, проектир",135000,11715300
3,95.0,"Бишкек, Кок-Жар ж/м, Исы Ахунбаева",450000,39051000
3,85.0,"Балыкчы, Аманбаева, 155",57500,4989850
3,56.28,с. Кара-Ой,85000,7376300
7,300.0,"Бишкек, Арча-Бешик ж/м, Ак-Туз",340000,29505200
7,320.0,"с. Кызыл-Туу, конок, 39",235000,20393300
5,144.0,с. Сары-Ой,360000,31240800
6,170.0,"Бишкек, Ак-Ордо ж/м",92000,7983760
5,144.0,"Бишкек, АУЦА",175000,15186500
7,639.0,с. Тамчы,97000,8417660
5,72.0,"Бишкек, с. Учкун, Береговая",155000,13450900
7,191.0,с. Бает,300000,26034000
7,490.0,"Бишкек, VEFA, Карасаева",700000,60746000
7,320.0,"Бишкек, Кара-Жыгач ж/м, Чоктал, 53",208088,18057877
3,90.0,"Бишкек, Лущихина - Льва Толстого, Льва Толстого234/5, 9",90000,7810200
6,200.0,"Бишкек, с. Чон-Арык",135000,11715300
7,200.0,с. Манас,120000,10413600
7,220.0,"Бишкек, Горького - Панфилова",300000,26034000
7,300.0,"Бишкек, Гоин, Усенбаева",495000,42956100
5,180.0,"Бишкек, Токольдош ж/м",58000,5033240
6,200.0,"Шопоков, Железнодорожный пер.",75000,6508500
5,200.0,"Бишкек, Магистраль, Абдурахманова, 13",420000,36447600
5,73.0,"Бишкек, Кок-Жар ж/м, Кок-Джар",180000,15620400
7,300.0,"Бишкек, с. Кок-Джар, Мадиева",370000,32108600
6,252.8,"Бишкек, Махатма Ганди - БЧК, Караванский пер.",215000,18657700
5,200.0,"с. Арашан, Курман, 29",270000,23430600
6,250.0,"Бишкек, Кок-Жар ж/м, Керемет",189000,16401420
7,226.0,"Бишкек, Кок-Жар м-н, Скрябина",255000,22128900
5,100.0,"Бишкек, с. Новопавловка, Гагарина",67000,5814260
7,348.0,"Бишкек, Арча-Бешик ж/м, Чортекова",280000,24298400
5,220.0,"Бишкек, Лущихина - Льва Толстого",90000,7810200
6,160.0,"Бишкек, Айкол",200000,17356000
6,93.0,"Бишкек, с. Маевка, маевка улица школьная 48",88000,7636640
3,100.0,Чолпон-Ата,120000,10413600
7,200.0,"с. Новопокровка, село НОВОПОКРОВКА улица Фрунзе, 291",170000,14752600
3,50.0,"Бишкек, с. Восток",58000,5033240
7,150.0,"Бишкек, Карла Маркса, Медерова",215000,18657700
5,125.0,"Бишкек, Карпинка, Осмонкула",168000,14579040
6,150.0,"Бишкек, Арча-Бешик ж/м, 12",150000,13017000
3,40.0,"Бишкек, Элебесова - Фере (Турбаза), ул.Фирсова/Фере",68000,5901040
5,50.0,"Бишкек, с. Учкун",83000,7202740
5,110.0,"Бишкек, Ак-Орго ж/м",105000,9111900
3,50.0,с. Военно-Антоновка,53000,4599340
5,200.0,"Бишкек, Арча-Бешик ж/м",190000,16488200
7,258.0,"Бишкек, с. Кок-Джар, 44",285000,24732300
7,90.0,"Бишкек, Аламединский рынок, Порхоменко",115000,9979700
5,60.0,"Бишкек, Махатма Ганди - БЧК, Малышева, 98",85000,7376300
5,100.0,"с. Новопокровка, Чеченова, 15",180000,15620400
6,170.0,"с. Кашка-Суу, Кашка суу Достук, 104",350000,30373000
7,280.0,"с. Таш-Мойнок, Центральная, 21/1",500000,43390000
7,200.0,с. Кой-Таш,160000,13884800
5,100.0,д/п Бек-Тоо,38000,3297640
6,200.0,"Бишкек, Арча-Бешик ж/м",270000,23430600
5,80.0,"Бишкек, Мед. академия",198000,17182440
3,64.0,с. Кой-Таш,145000,12583100
5,160.0,"Бишкек, Балбан-Таймаш ж/м, 3",135000,11715300
5,100.0,с. Чон-Арык,155000,13450900
7,100.0,с. Дачное,60000,5206800
7,390.0,"Бишкек, Верхний Джал м-н",430000,37315400
3,70.0,"Бишкек, Ак-Ордо ж/м",65000,5640700
6,380.0,"Бишкек, с. Орто-Сай",850000,73763000
7,160.0,"Бишкек, ж/м Ала-Арча 2, 15, 2",149500,12973610
7,310.0,"Бишкек, Ынтымак ж/м",440000,38183200
6,187.0,"Бишкек, Ак-Ордо ж/м",190000,16488200
7,300.0,"Бишкек, Ак-Босого ж/м, 60, 28",140000,12149200
7,438.0,"Бишкек, Горького - Панфилова, Ошская",315000,27335700
6,80.0,"Бишкек, Тоголок Молдо - Щербакова, 128",70000,6074600
6,200.0,с. Кой-Таш,260000,22562800
3,120.0,"Бишкек, Советская - БЧК, Маяковского",165000,14318700
5,115.0,"Бишкек, Тенир-Тоо м-н, Чатыр кол",165000,14318700
7,154.0,"Бишкек, Арча-Бешик ж/м",200000,17356000
6,160.0,"Бишкек, Оскон-Ордо ж/м, 9",110000,9545800
6,175.0,"Бишкек, Рухий Мурас ж/м",185000,16054300
6,160.0,"Бишкек, Арча-Бешик ж/м",330000,28637400
7,270.0,"Бишкек, Арча-Бешик ж/м",235000,20393300
5,105.0,"Бишкек, Ак-Ордо ж/м",85000,7376300
7,207.0,с. Таш-Мойнок,580000,50332400
7,620.0,"Бишкек, с. Кок-Джар",390000,33844200
6,100.0,"Бишкек, Учкун ж/м, Учкун-9 я, 14",166000,14405480
2,100.0,с. Беш-Кунгей,63000,5467140
3,68.0,"Бишкек, Карла Маркса, Белорусская, 108а",160000,13884800
5,150.0,"Бишкек, с. Кок-Джар",180000,15620400
5,120.0,"Бишкек, с. Верхний Орок",112000,9719360
7,150.0,"Бишкек, Кызыл-Аскер ж/м",130000,11281400
7,300.0,"Бишкек, Кок-Жар ж/м, Куюкова",450000,39051000
7,195.0,"Бишкек, Старый толчок",150000,13017000
7,186.0,"Ош, Акбуура 4, Абылкасымова Ильяса, 33",170000,14752600
7,2000.0,"Бишкек, Азия Молл, Юдахина, 50-50а",177000,15360060
5,151.0,"Бишкек, Джальская больница, Ахунбаева, 166",400000,34712000
7,220.0,"Бишкек, Арча-Бешик ж/м, Магистраль - Бакаева",350000,30373000
5,60.0,"Бишкек, Нижний Токольдош, Карский пер",99000,8591220
6,188.0,"Бишкек, Горького - Панфилова",250000,21695000
7,220.0,"Бишкек, Элебесова - Фере (Турбаза), Фирсова",330000,28637400
6,265.0,"Бишкек, Кара Дарыя, Шукурова",430000,37315400
7,530.0,"Бишкек, Ынтымак ж/м, Стадионная",800000,69424000
7,700.0,"Бишкек, Кок-Жар ж/м, Куйручук",285000,24732300
7,170.0,"Бишкек, Кызыл-Аскер ж/м, Джамгерчинова",130000,11281400
7,102.0,"с. Петропавловка, Крупская",130000,11281400
7,184.7,"Бишкек, Кызыл-Аскер ж/м, Пишпекская",255000,22128900
3,48.68,"Бишкек, с. Кок-Джар, Уметалиева",280000,24298400
2,47.0,"Бишкек, Западный автовокзал, Малышева, 48",70000,6074600
7,124.0,"с. Ой-Тал, Гагарина, 28",30000,2603400
6,106.0,"Бишкек, Кызыл-Аскер ж/м, Мессароша",98000,8504440
6,90.0,"Бишкек, БГУ, Сухомлинова, 33",210000,18223800
6,160.0,с. Кой-Таш,150000,13017000
6,210.0,"с. Беш-Кунгей, Таранчиева, 4",175000,15186500
3,40.0,"Бишкек, Аламединский рынок",84000,7289520
5,155.0,"Бишкек, с. Чон-Арык, Северная, 46",260000,22562800
3,42.0,"Бишкек, Алтын-Ордо ж/м, 3-я улица",135000,11715300
5,82.0,"Бишкек, Кызыл-Аскер ж/м, Белгородская, 48",75000,6508500
5,100.0,"Бишкек, с. Нижняя Ала-Арча, новая 9",125000,10847500
2,42.0,"с. Ленинское, 325",104000,9025120
6,131.0,"Бишкек, ж/м Ала-Арча 2, Абаданова, 74 А",142200,12340116
7,250.0,с. Чок-Тал,370000,32108600
6,160.0,"Бишкек, Таш Рабат",222000,19265160
3,65.0,"Бишкек, с. Пригородное, Сибирская",54000,4686120
5,60.0,"Бишкек, Пишпек ж/м, 107",120000,10413600
6,120.0,"Бишкек, Ынтымак ж/м, 40",352000,30546560
6,91.0,"Бишкек, с. Чон-Арык, Кожобергенова, 241",235000,20393300
7,167.0,"Бишкек, Тоголок-Молдо - БЧК",200000,17356000
7,220.0,"Бишкек, Джальская больница",350000,30373000
5,75.0,"с. Беш-Кунгей, таранчиева",130000,11281400
7,200.0,"Ош, Аскар Шакирова, 56",360000,31240800
6,120.0,"Бишкек, с. Чон-Арык",290000,25166200
5,180.0,"Бишкек, Колмо ж/м",195000,16922100
3,100.0,с. Сары-Ой,185000,16054300
6,106.0,"Бишкек, с. Новопавловка",125000,10847500
6,190.0,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак",235000,20393300
6,250.0,"Бишкек, Арча-Бешик ж/м",535000,46427300
7,355.0,"Бишкек, Джальская больница, Островского",450000,39051000
6,153.0,с. Кара-Ой,130000,11281400
5,122.0,с. Байтик,140000,12149200
7,120.0,"Бишкек, с. Новопавловка, абшыр ата",87000,7549860
7,220.0,"Бишкек, Ата Журт, достук",230000,19959400
7,170.0,"Бишкек, Рухий Мурас ж/м, 3я",160000,13884800
3,400.0,"Бишкек, Кара-Жыгач ж/м",139000,12062420
6,126.0,"Бишкек, Душанбинка, худайбергенова",390000,33844200
2,55.0,"Бишкек, Оскон-Ордо ж/м",72000,6248160
6,250.0,"Бишкек, VEFA, Чернышевского",495000,42956100
7,271.0,"Бишкек, Ала-Арча 3",475000,41220500
2,27.0,"с. Таш-Добо, Горький",120000,10413600
6,250.0,с. Байтик,198000,17182440
7,150.0,"Бишкек, Карла Маркса, Бектенова, 20",250000,21695000
7,230.0,"Бишкек, Арча-Бешик ж/м",300000,26034000
6,98.0,"Бишкек, с. Маевка, Новая",75000,6508500
6,113.0,"Бишкек, Пишпек ж/м",132000,11454960
2,40.0,"с. Романовка, Рамановка",36000,3124080
3,60.0,с. Комсомольское,65000,5640700
7,220.0,"Бишкек, АУЦА, Иститут Сейсмологии, 17",480000,41654400
3,90.0,"Бишкек, Ак-Ордо 3 ж/м, Дыйканбаева Арпачы",81500,7072570
7,164.0,"Бишкек, Арча-Бешик ж/м, Садырбаева",330000,28637400
7,450.0,"Бишкек, Магистраль",570000,49464600
7,499.0,с. Байтик,1077840,93534955
6,220.0,"Бишкек, Рухий Мурас ж/м",180000,15620400
7,72.0,"Бишкек, Ден Сяопина - Фучика, фучика х жибек ж",170000,14752600
7,440.0,"Бишкек, Советская - Куренкеева",365000,31674700
5,250.0,"Бишкек, Ала-Арча ж/м",850000,73763000
5,52.0,"Бишкек, Матросова",73000,6334940
5,79.62,"Бишкек, с. Аламудун, Николая Гоголя",95000,8244100
6,235.0,"Бишкек, Алтын-Ордо ж/м",430000,37315400
7,130.0,"Чолпон-Ата, Кырк-Чоро",150000,13017000
7,285.0,"Бишкек, Рабочий Городок, Омский",197000,17095660
5,99.0,"Бишкек, Станционный",118000,10240040
5,83.0,"Бишкек, Пишпек ж/м",75000,6508500
7,240.0,с. Байтик,400000,34712000
